Par_ref_offre|Par_cle|Par_nom|Code_rome|Code_OGR|Libelle_metier_OGR|Description|Off_experience_duree_min|Off_experience_duree_max|Exp_cle|Exp_libelle|Dur_cle_experience|Dur_libelle_experience|Off_experience_commentaire|Qua_cle|Qua_libelle|SCN_cle|SCN_libelle|Tfm_cle_1|Tfm_libelle_1|Dfm_cle_1|Dfm_libelle_1|Dfm_exi_cle_1|Dfm_exi_libelle_1|Tfm_cle_2|Tfm_libelle_2|Dfm_cle_2|Dfm_libelle_2|Dfm_exi_cle_2|Dfm_exi_libelle_2|Lan_cle_1|Lan_libelle_1|NVL_cle_1|NVL_libelle_1|"Lan_exi_cle_1 "|"Lan_exi_libelle_1 "|Lan_cle_2|Lan_libelle_2|NVL_cle_2|NVL_libelle_2|"Lan_exi_cle_2 "|"Lan_exi_libelle_2 "|Off_salaire_min|Off_salaire_max|TSA_cle|TSA_libelle|UMO_cle|UMO_libelle|Off_salaire_nb_mois|Off_salaire_cpt_commentaire|Off_travail_hebdo_nb_hh|Off_travail_hebdo_nb_mi|THO_cle|THO_libelle|Off_THO_commentaire|NTC_cle|NTC_libelle|TCO_cle|TCO_libelle|Off_contrat_duree_MO|Off_contrat_duree_JO|Off_adr_id|Off_adr_norme|Off_adr_compl_1|Off_adr_compl_2|Off_adr_no_voie|Off_adr_nom_voie|CPO_cle|COM_cle|COM_libelle|DEP_cle|DEP_libelle|REG_cle|REG_libelle|Pay_cle|Pay_libelle|CON_cle|CON_libelle|Coordonnee_geo_loc_1|Coordonnee_geo_loc_2|PCO_cle_1|PCO_libelle_1|PCO_exi_cle_1|PCO_exi_libelle_1|PCO_cle_2|PCO_libelle_2|PCO_exi_cle_2|PCO_exi_libelle_2|Off_date_creation|Off_date_modification|OST_poste_restant_nb|Off_client_final_siret|Off_client_final_nom|Off_etab_enseigne|Par_URL_offre|Col_cle|Col_nom|Col_URL_offre
669326|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Cherche personne pour s&#39;occuper de deux filles le matin de 07h35 à 08h35. Réveil, petit déjeuner, habillage, nettoyage et les conduire à l&#39;école"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||76264||50||||01||||||||||||||09/10/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=669326|||
669329|FEPEM|FEPEM|I1203|38086|"Agent / Agente d'entretien travaux à domicile"|"Recherche homme, âge indifférent, pour travaux d&#39;entretien en peinture de volets et quelques petits travaux de maçonnerie. Jours et heures d&#39;intervention indifférents."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||27172||27||||01||||||||||||||09/10/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=669329|||
669330|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Cherche nounou à domicile pour un petit garçon de 7 ans et une petite fille de 2 ans et demi. Soit le matin de 6h30 à 9h30 soit le soir 15h50 - 19h30 dépend de nos plannings"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||27||||01||||||||||||||09/10/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=669330|||
669333|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Cherche personne pour quelques heures de ménages dans le mois, expérience souhaité, proche Epernay."|5||||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||51029||51||||01||||||||||||||09/10/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=669333|||
669342|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Bonjour,Nous vivons à Lyon 3 Saxe Gambetta et cherchons une nounou pour garder nos 2 garçons, un bébé de 2,5 mois et un périscolaire de 5 ans à partir du 26 janv 2017. 50H/semaine min., 8-18H."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||69300||69||||01||||||||||||||10/10/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=669342|||
